CID	IAUName	Class	Peakrmag	MJD	zCMB	e_zCMB	muSz	e_muSz	AVM	e_AVM	dm15z	e_dm15z	AVz	e_AVz
6696	             	      SNIa?	21.7	53674.2	0.237417	0.000031	41.46	0.3	0.84	0.12	0.69	0.08	0.7	0.16
3780	             	      zSNIa	21.8	53634.3	0.360378	0.000021	42.18	0.42	0.38	0.21	0.69	0.09	0.27	0.35
13518	       2006mn	       SNIa	21.8	54007.4	0.297605	0.01	41.86	0.38	0.64	0.15	0.68	0.08	0.68	0.23
14771	             	      zSNIa	22.1	54021.4	0.266152	0.00004	       	      	0.57	0.2	0.68	0.08	0.43	0.28
15734	       2006ng	      zSNIa	21.6	54039.3	0.38338	0.005	41.98	0.32	0.41	0.14	0.68	0.07	0.2	0.21
13732	             	      zSNIa	21.8	54010.2	0.400678	0.000058	42.19	0.42	0.24	0.21	0.68	0.09	0.18	0.3
13750	             	      zSNIa	22	54012.2	0.330488	0.000051	42.59	0.4	0.09	0.19	0.68	0.08	-0.09	0.28
17274	       2007ij	       SNIa	20.4	54357.3	0.194663	0.000031	40.38	0.23	-0.04	0.2	0.68	0.06	-0.44	0.24
4524	       2005gj	       SNIa	17.1	53675.3	0.060897	0.0005	36.82	0.18	1	0.04	0.68	0.03	-0.99	0.01
13836	             	      zSNIa	21.1	54047.3	0.372747	0.000084	41.22	0.25	0.64	0.12	0.67	0.07	0.61	0.15
20626	             	      zSNIa	21.6	54423.2	0.274884	0.000016	41.68	0.32	0.45	0.19	0.67	0.07	0.24	0.21
19029	       2007lu	       SNIa	21.6	54385.2	0.318042	0.000034	41.94	0.31	0.13	0.15	0.67	0.06	-0.06	0.19
21042	       2007qz	       SNIa	21.3	54425.1	0.310647	0.005	40.88	0.25	0.08	0.18	0.67	0.08	-0.1	0.17
20541	             	      zSNIa	21.9	54424.1	0.331562	0.000021	42.61	0.29	0.2	0.18	0.66	0.07	0.58	0.27
14223	             	      zSNIa	22.5	53995.2	0.343494	0.000034	       	      	0.55	0.22	0.66	0.07	0.36	0.36
16578	       2006po	       SNIa	20.9	54063.1	0.173635	0.0005	39.36	0.21	0.59	0.18	0.65	0.06	0.88	0.12
10146	             	      zSNIa	22.1	53680.3	0.282991	0.000017	41.84	0.46	0.56	0.23	0.65	0.06	0.53	0.28
932	             	      zSNIa	21.6	53616.4	0.390036	0.000048	41.85	0.4	0.35	0.2	0.65	0.06	0.2	0.4
16314	       2006oa	       SNIa	17.9	54068.1	0.061415	0.000011	37.18	0.19	0.01	0.08	0.64	0.04	0.18	0.1
6852	       2005jf	      SNIa?	21.1	53683.4	0.299936	0.0005	41.13	0.26	0.62	0.1	0.62	0.03	0.65	0.12
18459	             	      zSNIa	21.4	54376.4	0.383307	0.000068	41.67	0.25	0.74	0.12	0.61	0.02	0.6	0.19
14815	       2006iz	       SNIa	19.6	54022.2	0.135051	0.000017	39.67	0.2	0.18	0.06	0.61	0.01	0.19	0.06
13467	       2006hq	      SNIa?	20.1	54009.2	0.067344	0.000016	       	      	1.62	0.04	0.6	0	2.49	0.05
2746	             	      SNIa?	20.6	53687.4	0.118293	0.000016	40.48	0.19	0.88	0.08	0.6	0	1.6	0.1
7017	             	       SNIa	20.1	53686.3	0.267869	0.0005	40.43	0.21	0.46	0.06	0.6	0.01	0.02	0.07
