CID	IAUName	Class	Peakrmag	MJD	zCMB	e_zCMB	muSz	e_muSz	AVM	e_AVM	dm15z	e_dm15z	AVz	e_AVz
15508	       2006ls	       SNIa	19.6	54041.3	0.133526	0.00003	39.04	0.18	0.15	0.06	0.95	0.03	0.01	0.06
14871	       2006jq	       SNIa	19.5	54030.4	0.118447	0.005	38.93	0.2	0.08	0.05	0.95	0.02	0.01	0.06
4676	             	      zSNIa	20.9	53654.4	0.24371	0.000036	40.55	0.2	0.08	0.1	0.95	0.05	0	0.11
15171	       2006kb	       SNIa	19.8	54030.1	0.138185	0.0005	39.12	0.18	0.02	0.07	0.95	0.03	-0.08	0.06
19025	       2007mx	       SNIa	21.8	54387.2	0.404499	0.005	41.82	0.33	0.12	0.23	0.95	0.14	-0.23	0.31
2808	             	      zSNIa	21.4	53635.4	0.313378	0.0005	41.2	0.25	-0.03	0.15	0.95	0.1	-0.25	0.17
13757	       2006hk	       SNIa	21	53993.3	0.287424	0.005	41.07	0.22	-0.17	0.12	0.95	0.07	-0.37	0.14
15381	             	      zSNIa	20.7	54030.1	0.160921	0.01	39.29	0.25	1.15	0.09	0.94	0.06	1.3	0.11
16052	             	      zSNIa	20.9	54053.4	0.143935	0.0005	39.19	0.21	0.95	0.13	0.94	0.07	1.19	0.12
18254	             	      zSNIa	21.9	54359.2	0.318331	0.000085	41.39	0.32	0.64	0.27	0.94	0.17	1.05	0.39
8114	             	      zSNIa	21.9	53675.2	0.369635	0.000123	41.55	0.3	0.56	0.19	0.94	0.16	0.68	0.23
4236	             	      zSNIa	21.4	53656.3	0.342829	0.00003	40.9	0.23	0.46	0.15	0.94	0.08	0.45	0.18
20575	       2007rh	       SNIa	20.6	54422.1	0.197347	0.000025	39.68	0.2	0.21	0.22	0.94	0.09	0.45	0.09
18456	       2007lk	       SNIa	20.5	54387.4	0.218814	0.00005	39.95	0.2	0.35	0.09	0.94	0.05	0.41	0.1
17605	       2007js	       SNIa	20.1	54357.1	0.145333	0.000016	39.27	0.22	0.41	0.12	0.94	0.07	0.38	0.14
7444	             	      zSNIa	21.3	53685.3	0.249173	0.000028	40.87	0.23	0.47	0.13	0.94	0.08	0.32	0.14
859	             	      zSNIa	21.1	53628.2	0.276728	0.000019	40.51	0.22	0.39	0.12	0.94	0.1	0.32	0.14
18630	             	      zSNIa	21.6	54385.3	0.357793	0.000051	41.45	0.3	0.36	0.17	0.94	0.11	0.2	0.22
4547	             	      zSNIa	21.7	53628.3	0.439751	0.000054	41.73	0.31	-0.02	0.3	0.94	0.2	0.08	0.38
14545	             	      zSNIa	21	54012.2	0.276432	0.01	40.77	0.23	0.09	0.11	0.94	0.06	0.06	0.12
15533	             	      zSNIa	21.7	54035.3	0.342762	0.000071	41.4	0.29	0.22	0.2	0.94	0.15	-0.01	0.21
19000	             	      zSNIa	21.1	54393.4	0.285117	0.000049	40.78	0.21	0.17	0.11	0.94	0.06	-0.01	0.11
18961	             	      zSNIa	22	54392.4	0.370508	0.000075	42	0.32	0.19	0.19	0.94	0.14	-0.04	0.25
5917	             	      zSNIa	21.1	53669.3	0.2949	0.00007	40.73	0.21	0.07	0.13	0.94	0.1	-0.04	0.13
3452	       2005gg	       SNIa	20.8	53644.2	0.229666	0.000023	40.3	0.19	0.04	0.1	0.94	0.04	-0.05	0.1
6649	       2005jd	       SNIa	21.3	53684.3	0.312883	0.005	41.06	0.23	0.11	0.13	0.94	0.08	-0.1	0.14
